timestamp;[Current com­pressor fre­quency][Hz][41778];
2025-11-06T23:36:29+00:00;49;
2025-11-06T23:38:29+00:00;51;
2025-11-06T23:41:29+00:00;54;
2025-11-06T23:43:29+00:00;56;
2025-11-06T23:44:29+00:00;57;
2025-11-06T23:46:29+00:00;59;
2025-11-06T23:47:30+00:00;60;
2025-11-06T23:49:29+00:00;62;
2025-11-06T23:50:30+00:00;63;
2025-11-06T23:53:29+00:00;65;
2025-11-06T23:54:50+00:00;67;
2025-11-06T23:56:51+00:00;68;
2025-11-07T00:00:51+00:00;70;
2025-11-07T00:06:52+00:00;70;
2025-11-07T00:11:50+00:00;67;
2025-11-07T00:17:50+00:00;65;
2025-11-07T00:19:50+00:00;64;
2025-11-07T00:22:50+00:00;62;
2025-11-07T00:24:50+00:00;62;
2025-11-07T00:26:50+00:00;60;
2025-11-07T00:29:50+00:00;58;
2025-11-07T00:32:50+00:00;55;
2025-11-07T00:35:50+00:00;53;
2025-11-07T00:36:50+00:00;52;
2025-11-07T00:38:50+00:00;50;
2025-11-07T00:41:50+00:00;47;
2025-11-07T00:43:50+00:00;46;
2025-11-07T00:44:51+00:00;44;
2025-11-07T00:47:50+00:00;42;
2025-11-07T00:48:50+00:00;40;
2025-11-07T00:50:50+00:00;39;
2025-11-07T00:51:50+00:00;37;
2025-11-07T00:52:50+00:00;36;
2025-11-07T00:56:11+00:00;34;
2025-11-07T00:59:11+00:00;30;
2025-11-07T01:01:12+00:00;30;
2025-11-07T01:04:12+00:00;28;
2025-11-07T01:06:12+00:00;25;
2025-11-07T01:10:11+00:00;23;
2025-11-07T01:11:11+00:00;22;
2025-11-07T01:15:12+00:00;20;
2025-11-07T04:00:37+00:00;20;
2025-11-07T04:00:38+00:00;90;
2025-11-07T04:04:38+00:00;90;
2025-11-07T04:07:17+00:00;90;
2025-11-07T04:18:07+00:00;79;
2025-11-07T04:23:16+00:00;0;
2025-11-07T14:00:59+00:00;0;
2025-11-07T14:01:00+00:00;90;
2025-11-07T14:22:51+00:00;85;
2025-11-07T14:30:52+00:00;75;
2025-11-07T14:37:19+00:00;1;
2025-11-07T16:59:27+00:00;1;
2025-11-07T16:59:28+00:00;90;
2025-11-07T17:43:24+00:00;86;
2025-11-07T17:53:56+00:00;75;
2025-11-07T18:00:30+00:00;1;
2025-11-07T18:19:04+00:00;1;
2025-11-07T18:19:05+00:00;90;
2025-11-07T18:35:48+00:00;86;
2025-11-07T18:41:31+00:00;20;
2025-11-07T19:51:31+00:00;20;
2025-11-07T19:51:32+00:00;22;
2025-11-07T19:53:50+00:00;23;
2025-11-07T19:57:53+00:00;26;
2025-11-07T20:05:51+00:00;27;
2025-11-07T20:07:51+00:00;28;
2025-11-07T20:11:51+00:00;29;
2025-11-07T20:22:12+00:00;27;
2025-11-07T20:23:50+00:00;26;
2025-11-07T20:27:50+00:00;24;
2025-11-07T20:51:11+00:00;25;
2025-11-07T20:56:12+00:00;28;
2025-11-07T20:59:11+00:00;28;
2025-11-07T21:09:12+00:00;30;
2025-11-07T21:12:12+00:00;29;
2025-11-07T21:29:11+00:00;27;
2025-11-07T21:39:11+00:00;28;
2025-11-07T21:50:32+00:00;26;
2025-11-07T21:53:32+00:00;25;
2025-11-07T22:00:33+00:00;23;
2025-11-07T22:04:33+00:00;22;
2025-11-08T00:09:15+00:00;0;
2025-11-08T01:26:23+00:00;0;
2025-11-08T01:26:24+00:00;20;
2025-11-08T01:42:35+00:00;21;
2025-11-08T01:45:35+00:00;24;
2025-11-08T01:47:56+00:00;26;
2025-11-08T01:49:57+00:00;27;
2025-11-08T01:53:56+00:00;29;
2025-11-08T01:55:56+00:00;30;
2025-11-08T01:58:56+00:00;32;
2025-11-08T02:00:57+00:00;34;
2025-11-08T02:02:57+00:00;34;
2025-11-08T02:07:10+00:00;36;
2025-11-08T02:15:56+00:00;38;
2025-11-08T02:19:56+00:00;38;
2025-11-08T02:26:56+00:00;37;
2025-11-08T02:31:56+00:00;34;
