timestamp;[Value air veloc­ity sensor (BS1)][][42782];
2025-11-24T18:08:46+00:00;197.2;
2025-11-24T18:13:48+00:00;199.3;
2025-11-24T18:15:26+00:00;198.3;
2025-11-24T18:18:45+00:00;200.3;
2025-11-24T18:19:21+00:00;199.3;
2025-11-24T18:23:26+00:00;197.3;
2025-11-24T18:25:39+00:00;196.2;
2025-11-24T18:28:12+00:00;197.2;
2025-11-24T18:30:10+00:00;196.2;
2025-11-24T18:35:21+00:00;197.2;
2025-11-24T18:38:40+00:00;196.2;
2025-11-24T18:42:20+00:00;196.2;
2025-11-24T18:44:37+00:00;197.2;
2025-11-24T18:49:11+00:00;198.2;
2025-11-24T18:51:40+00:00;197.2;
2025-11-24T18:54:07+00:00;198.2;
2025-11-24T18:56:10+00:00;198.2;
2025-11-24T18:58:08+00:00;198.2;
2025-11-24T18:59:57+00:00;199.2;
2025-11-24T19:01:27+00:00;199.2;
2025-11-24T19:05:20+00:00;200.3;
2025-11-24T19:07:02+00:00;200.3;
2025-11-24T19:09:53+00:00;199.3;
2025-11-24T19:12:14+00:00;201.3;
2025-11-24T19:16:35+00:00;200.3;
2025-11-24T19:19:00+00:00;201.3;
2025-11-24T19:20:31+00:00;200.3;
2025-11-24T19:24:59+00:00;201.1;
2025-11-24T19:25:42+00:00;202.1;
2025-11-24T19:26:43+00:00;203.1;
2025-11-24T19:28:33+00:00;202.1;
2025-11-24T19:30:06+00:00;201.1;
2025-11-24T19:34:33+00:00;202.1;
2025-11-24T19:37:07+00:00;203.1;
2025-11-24T19:39:29+00:00;201.1;
2025-11-24T19:43:05+00:00;200.1;
2025-11-24T19:46:51+00:00;200.1;
2025-11-24T19:50:09+00:00;200.1;
2025-11-24T19:52:50+00:00;200.1;
2025-11-24T19:54:47+00:00;198.1;
2025-11-24T19:57:44+00:00;197.0;
2025-11-24T20:00:00+00:00;198.0;
2025-11-24T20:04:59+00:00;196.2;
2025-11-24T20:06:27+00:00;195.2;
2025-11-24T20:11:28+00:00;196.2;
2025-11-24T20:15:32+00:00;197.2;
2025-11-24T20:16:18+00:00;196.2;
2025-11-24T20:20:35+00:00;193.2;
2025-11-24T20:21:50+00:00;195.2;
2025-11-24T20:23:58+00:00;194.2;
2025-11-24T20:25:02+00:00;193.2;
2025-11-24T20:26:17+00:00;194.2;
2025-11-24T20:27:28+00:00;193.2;
2025-11-24T20:29:13+00:00;192.2;
2025-11-24T20:32:24+00:00;192.1;
2025-11-24T20:33:42+00:00;190.1;
2025-11-24T20:35:44+00:00;188.1;
2025-11-24T20:37:45+00:00;186.1;
2025-11-24T20:40:32+00:00;182.1;
2025-11-24T20:45:11+00:00;182.1;
2025-11-24T20:45:12+00:00;196.9;
2025-11-24T20:47:49+00:00;196.9;
2025-11-24T20:53:05+00:00;198.9;
2025-11-24T20:55:12+00:00;200.9;
2025-11-24T20:56:22+00:00;199.9;
2025-11-24T21:03:58+00:00;198.9;
2025-11-24T21:05:04+00:00;197.9;
2025-11-24T21:06:54+00:00;198.9;
2025-11-24T21:09:26+00:00;199.9;
2025-11-24T21:11:10+00:00;198.9;
2025-11-24T21:14:57+00:00;198.9;
2025-11-24T21:18:13+00:00;198.9;
2025-11-24T21:25:22+00:00;195.9;
2025-11-24T21:25:54+00:00;196.9;
2025-11-24T21:30:20+00:00;197.9;
2025-11-24T21:31:06+00:00;196.9;
2025-11-24T21:35:11+00:00;195.9;
2025-11-24T21:36:31+00:00;195.9;
2025-11-24T21:38:58+00:00;194.9;
2025-11-24T21:40:12+00:00;193.9;
2025-11-24T21:41:10+00:00;194.9;
2025-11-24T21:43:09+00:00;193.9;
2025-11-24T21:45:25+00:00;192.9;
2025-11-24T21:48:51+00:00;190.9;
2025-11-24T21:50:57+00:00;189.9;
2025-11-24T21:52:01+00:00;187.9;
2025-11-24T21:53:49+00:00;185.9;
2025-11-24T21:55:45+00:00;182.8;
2025-11-24T21:57:46+00:00;180.7;
2025-11-24T22:00:21+00:00;180.7;
2025-11-24T22:00:22+00:00;192.1;
2025-11-24T22:01:44+00:00;194.2;
2025-11-24T22:04:08+00:00;192.2;
2025-11-24T22:06:14+00:00;194.2;
2025-11-24T22:07:15+00:00;198.2;
2025-11-24T22:08:39+00:00;199.2;
2025-11-24T22:11:18+00:00;199.3;
2025-11-24T22:12:40+00:00;199.3;
2025-11-24T22:15:57+00:00;200.3;
2025-11-24T22:20:43+00:00;197.3;
2025-11-24T22:22:09+00:00;198.3;
2025-11-24T22:23:44+00:00;197.3;
2025-11-24T22:27:38+00:00;198.3;
2025-11-24T22:31:09+00:00;199.3;
2025-11-24T22:34:43+00:00;198.3;
2025-11-24T22:37:36+00:00;200.3;
2025-11-24T22:40:51+00:00;200.3;
2025-11-24T22:44:35+00:00;199.3;
2025-11-24T22:45:53+00:00;198.3;
2025-11-24T22:48:01+00:00;198.3;
2025-11-24T22:49:47+00:00;198.3;
2025-11-24T22:51:52+00:00;195.3;
2025-11-24T22:54:27+00:00;195.3;
2025-11-24T22:58:05+00:00;193.3;
2025-11-24T23:01:17+00:00;192.3;
2025-11-24T23:02:40+00:00;191.3;
2025-11-24T23:04:40+00:00;188.3;
2025-11-24T23:06:36+00:00;187.3;
2025-11-24T23:09:46+00:00;183.3;
2025-11-24T23:12:08+00:00;183.3;
2025-11-24T23:15:48+00:00;183.3;
2025-11-24T23:15:49+00:00;191.7;
2025-11-24T23:16:56+00:00;192.7;
2025-11-24T23:18:20+00:00;192.7;
2025-11-24T23:21:01+00:00;191.7;
2025-11-24T23:22:01+00:00;192.7;
2025-11-24T23:22:43+00:00;194.7;
2025-11-24T23:25:40+00:00;195.5;
2025-11-24T23:29:03+00:00;196.5;
2025-11-24T23:31:43+00:00;195.5;
2025-11-24T23:36:29+00:00;194.5;
2025-11-24T23:40:13+00:00;195.5;
2025-11-24T23:42:00+00:00;193.5;
